id,rol,sexo,edad,tipo,modelo
27,CONDUCTOR,Masculino,55,MOTO,FOX
28,CICLISTA,Femenino,29,BICICLETA,R 26
29,CONDUCTOR,Masculino,31,MOTO,YBR 125
30,CICLISTA,Femenino,29,BICICLETA,NO HAY DATOS
31,CONDUCTOR,Masculino,26,MOTO,CG  125
32,CONDUCTOR,Masculino,19,MOTO,CG TITAN
33,PEATON,Femenino,45,PEATON,
34,CONDUCTOR,Femenino,39,AUTO PARTICULAR,CLIO
35,CICLISTA,Femenino,24,BICICLETA,NO HAY DATOS
36,CICLISTA,Masculino,17,BICICLETA,NO HAY DATOS
37,CONDUCTOR,Masculino,31,MOTO,XTZ
38,PASAJERO/ACOMPAÑANTE,Masculino,31,SIN DATOS,
39,PASAJERO/ACOMPAÑANTE,Masculino,24,AUTO PARTICULAR,ESCORT
40,CONDUCTOR,Femenino,31,MOTO,250
41,CICLISTA,Masculino,40,BICICLETA,MONTAIN BIKE
42,PASAJERO/ACOMPAÑANTE,Femenino,73,TRANSPORTE PUBLICO,
42,PASAJERO/ACOMPAÑANTE,Femenino,73,TRANSPORTE PUBLICO,
43,PASAJERO/ACOMPAÑANTE,Masculino,21,AUTO PARTICULAR,KANGOO
44,CONDUCTOR,Femenino,72,AUTO PARTICULAR,9
45,PEATON,Masculino,25,PEATON,
46,CONDUCTOR,Masculino,42,AUTO PARTICULAR,PALIO
47,CONDUCTOR,Masculino,30,MOTO,VX 150
48,PASAJERO/ACOMPAÑANTE,Femenino,40,AUTO PARTICULAR,19
48,PASAJERO/ACOMPAÑANTE,Femenino,40,AUTO PARTICULAR,19
49,PASAJERO/ACOMPAÑANTE,Femenino,29,AUTO PARTICULAR,KANGOO
49,PASAJERO/ACOMPAÑANTE,Femenino,29,AUTO PARTICULAR,KANGOO
49,PASAJERO/ACOMPAÑANTE,Femenino,29,AUTO PARTICULAR,KANGOO
50,CONDUCTOR,Masculino,41,MOTO,RX 150
51,CONDUCTOR,Masculino,29,MOTO,CG  150 CC
52,PASAJERO/ACOMPAÑANTE,Masculino,25,TRANSPORTE PUBLICO,
53,CONDUCTOR,Femenino,23,MOTO,150
54,CICLISTA,Masculino,17,BICICLETA,NO HAY DATOS
55,CONDUCTOR,Masculino,32,AUTO PARTICULAR,CORSA
55,CONDUCTOR,Masculino,32,AUTO PARTICULAR,CORSA
56,PEATON,Femenino,29,PEATON,
57,CONDUCTOR,Masculino,20,MOTO,WAVE
58,CONDUCTOR,Masculino,23,MOTO,XTZ
59,CICLISTA,Femenino,18,BICICLETA,NO HAY DATOS
60,CONDUCTOR,Masculino,37,MOTO,YBR 125
61,CONDUCTOR,Masculino,37,MOTO,FZ 16
62,CONDUCTOR,Masculino,22,MOTO,CG TITAN
62,CONDUCTOR,Masculino,21,MOTO,FZ
63,PEATON,Masculino,8,PEATON,
64,CONDUCTOR,Masculino,25,MOTO,YBR
65,PEATON,Femenino,19,PEATON,
66,CONDUCTOR,Masculino,25,MOTO,NO HAY DATOS
67,CONDUCTOR,Masculino,27,MOTO,110
68,PEATON,Masculino,15,PEATON,
69,CONDUCTOR,Femenino,30,AUTO PARTICULAR,FIT
70,CONDUCTOR,Masculino,23,MOTO,IBR 125
71,CONDUCTOR,Masculino,45,MOTO,CG TITAN
72,PEATON,Masculino,27,PEATON,
73,CONDUCTOR,Femenino,25,BICICLETA,NO HAY DATOS
74,CONDUCTOR,Masculino,30,MOTO,135 L5
75,PEATON,Femenino,55,PEATON,
76,CONDUCTOR,Masculino,42,BICICLETA,MONTAIN BIKE
77,CONDUCTOR,Masculino,30,AUTO PARTICULAR,NO HAY DATOS
78,CONDUCTOR,Femenino,26,AUTO PARTICULAR,PALIO
79,CONDUCTOR,Femenino,49,MOTO,PATAGONIAN
80,CONDUCTOR,Masculino,26,TAXI/REMIS,CORSA
81,CONDUCTOR,Femenino,20,AUTO (no se especifica si es particular o de alquiler),KA
82,CONDUCTOR,Masculino,23,MOTO,ROUSER
83,PASAJERO/ACOMPAÑANTE,Femenino,1,AUTO PARTICULAR,CORSA
83,PASAJERO/ACOMPAÑANTE,Femenino,32,AUTO PARTICULAR,CORSA
84,CONDUCTOR,Masculino,65,AUTO PARTICULAR,FOX
85,PEATON,Masculino,57,PEATON,
86,PEATON,Femenino,999,PEATON,
87,PEATON,Masculino,26,PEATON,
88,PEATON,Masculino,74,PEATON,
89,CONDUCTOR,Masculino,43,TAXI/REMIS,CORSA
90,CONDUCTOR,Masculino,49,MOTO,NO HAY DATOS
91,PASAJERO/ACOMPAÑANTE,Femenino,45,AUTO PARTICULAR,FIT
91,PASAJERO/ACOMPAÑANTE,Femenino,45,AUTO PARTICULAR,FIT
92,PEATON,Masculino,65,PEATON,
93,PEATON,Masculino,34,PEATON,
94,CONDUCTOR,Masculino,36,MOTO,BIZ 125
95,CONDUCTOR,Femenino,43,MOTO,TDM 900
96,CONDUCTOR,Masculino,34,MOTO,NO HAY DATOS
97,PASAJERO/ACOMPAÑANTE,Femenino,38,CAMIONETA,KANGOO
97,PASAJERO/ACOMPAÑANTE,Femenino,39,CAMIONETA,KANGOO
97,PASAJERO/ACOMPAÑANTE,Masculino,39,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,MERIVA
97,PASAJERO/ACOMPAÑANTE,Femenino,38,CAMIONETA,KANGOO
97,PASAJERO/ACOMPAÑANTE,Femenino,39,CAMIONETA,KANGOO
97,PASAJERO/ACOMPAÑANTE,Masculino,39,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,MERIVA
98,PASAJERO/ACOMPAÑANTE,Femenino,30,AUTO PARTICULAR,SANDERO
99,CONDUCTOR,Masculino,26,MOTO,XR 300
99,CONDUCTOR,Masculino,26,MOTO,XR 300
100,CONDUCTOR,Masculino,26,MOTO,XR
100,PASAJERO/ACOMPAÑANTE,Masculino,22,MOTO,XR
101,CONDUCTOR,Masculino,42,AUTO PARTICULAR,GOL
102,PEATON,Femenino,82,PEATON,
103,PEATON,Masculino,32,PEATON,
103,PEATON,Masculino,32,PEATON,
104,CONDUCTOR,Masculino,33,MOTO,STORM
105,PEATON,Femenino,78,PEATON,
105,PEATON,Femenino,78,PEATON,
106,CONDUCTOR,Masculino,27,MOTO,110
107,PASAJERO/ACOMPAÑANTE,Masculino,30,AUTO PARTICULAR,18
107,PASAJERO/ACOMPAÑANTE,Femenino,40,TRANSPORTE PUBLICO,
108,CONDUCTOR,Masculino,39,MOTO,CG TITAN
109,CONDUCTOR,Masculino,46,TAXI/REMIS,MERIVA
110,CICLISTA,Femenino,24,BICICLETA,NO HAY DATOS
111,CONDUCTOR,Femenino,64,AUTO PARTICULAR,FALCON
112,CONDUCTOR,Masculino,24,MOTO,FZ 16
113,CONDUCTOR,Masculino,29,AUTO PARTICULAR,FOCUS
114,CONDUCTOR,Masculino,30,MOTO,900
115,CONDUCTOR,Masculino,33,MOTO,NINJA
116,CONDUCTOR,Masculino,17,MOTO,RX 150
117,PEATON,Masculino,42,PEATON,
118,CONDUCTOR,Masculino,22,MOTO,100
119,CONDUCTOR,Masculino,24,MOTO,S2 150
120,PEATON,Masculino,32,PEATON,
121,CONDUCTOR,Masculino,28,MOTO,110
122,CICLISTA,Masculino,50,BICICLETA,NO HAY DATOS
123,CONDUCTOR,Masculino,46,MOTO,FALCON
124,CONDUCTOR,Masculino,24,AUTO PARTICULAR,SURAN
125,CONDUCTOR,Masculino,29,MOTO,NO HAY DATOS
126,CONDUCTOR,Masculino,38,MOTO,Y 125
127,CONDUCTOR,Masculino,36,MOTO,XTZ 250
128,PEATON,Masculino,66,PEATON,
129,PASAJERO/ACOMPAÑANTE,Femenino,63,TRANSPORTE PUBLICO,
130,CONDUCTOR,Masculino,29,MOTO,110
131,PEATON,Masculino,29,PEATON,
132,PEATON,Femenino,56,PEATON,
133,CONDUCTOR,Masculino,23,MOTO,WAVE
134,CICLISTA,Femenino,26,BICICLETA,MONTAIN BIKE
135,CONDUCTOR,Femenino,26,MOTO,CB 1
136,CONDUCTOR,Masculino,39,CAMION,CARGO 1722
137,CONDUCTOR,Masculino,49,MOTO,YBR
138,CONDUCTOR,Masculino,37,MOTO,TORNADO
139,PEATON,Masculino,44,PEATON,
140,PEATON,Masculino,32,PEATON,
141,CICLISTA,Masculino,76,SIN DATOS,
142,CONDUCTOR,Masculino,45,MOTO,110
143,PEATON,Femenino,28,PEATON,
144,CONDUCTOR,Femenino,35,MOTO,CBR
145,PEATON,Masculino,36,PEATON,
146,CONDUCTOR,Femenino,26,MOTO,NO HAY DATOS
147,PEATON,Femenino,58,PEATON,
148,PEATON,Masculino,51,PEATON,
149,CONDUCTOR,Femenino,32,MOTO,YBR 125
150,PASAJERO/ACOMPAÑANTE,Femenino,67,SIN DATOS,
151,CONDUCTOR,Masculino,31,MOTO,NO HAY DATOS
152,CONDUCTOR,Masculino,30,MOTO,FZ
153,CONDUCTOR,Masculino,30,MOTO,XR 125
154,PEATON,Masculino,59,PEATON,
155,CONDUCTOR,Masculino,33,AUTO PARTICULAR,CORSA
156,CONDUCTOR,Masculino,28,MOTO,R
157,CONDUCTOR,Masculino,28,MOTO,NO HAY DATOS
158,CONDUCTOR,Masculino,44,MOTO,CBR
159,PEATON,Masculino,25,PEATON,
160,CICLISTA,Masculino,42,BICICLETA,MONTAIN BIKE
160,CICLISTA,Masculino,42,BICICLETA,MONTAIN BIKE
161,CONDUCTOR,Femenino,22,AUTO PARTICULAR,FOX
162,CONDUCTOR,Femenino,36,AUTO PARTICULAR,C3
163,PASAJERO/ACOMPAÑANTE,Femenino,45,TRANSPORTE PUBLICO,
164,PEATON,Femenino,67,PEATON,
165,CONDUCTOR,Femenino,22,AUTO PARTICULAR,SPAZIO
166,PEATON,Femenino,62,PEATON,
167,PASAJERO/ACOMPAÑANTE,Masculino,74,TRANSPORTE PUBLICO,
168,CONDUCTOR,Masculino,38,MOTO,XR 125
169,CONDUCTOR,Masculino,51,MOTO,YBR
170,PEATON,Femenino,31,PEATON,
171,PASAJERO/ACOMPAÑANTE,Femenino,33,AUTO PARTICULAR,GOLF
171,PASAJERO/ACOMPAÑANTE,Femenino,33,AUTO PARTICULAR,GOLF
171,PASAJERO/ACOMPAÑANTE,Femenino,44,AUTO PARTICULAR,206
171,PASAJERO/ACOMPAÑANTE,Femenino,44,AUTO PARTICULAR,206
172,CONDUCTOR,Masculino,51,AUTO PARTICULAR,MERIVA
173,CONDUCTOR,Masculino,21,MOTO,FZ
174,CONDUCTOR,Masculino,37,MOTO,RX
175,CONDUCTOR,Masculino,23,MOTO,200
176,CONDUCTOR,Masculino,28,MOTO,250
177,PEATON,Femenino,56,PEATON,
178,CONDUCTOR,Masculino,35,AUTO PARTICULAR,306
179,CONDUCTOR,Masculino,45,AUTO PARTICULAR,CORSA
180,PEATON,Femenino,60,PEATON,
181,CICLISTA,Masculino,24,BICICLETA,NO HAY DATOS
182,PEATON,Femenino,34,PEATON,
183,CONDUCTOR,Masculino,24,MOTO,NO HAY DATOS
184,CONDUCTOR,Masculino,29,MOTO,RX 150
185,CONDUCTOR,Masculino,32,MOTO,125
186,CONDUCTOR,Femenino,61,AUTO PARTICULAR,FOCUS
187,CONDUCTOR,Masculino,17,MOTO,CG
188,PASAJERO/ACOMPAÑANTE,Femenino,17,MOTO,NO HAY DATOS
188,PASAJERO/ACOMPAÑANTE,Femenino,17,MOTO,NO HAY DATOS
188,CONDUCTOR,Masculino,28,MOTO,NO HAY DATOS
189,CONDUCTOR,Femenino,46,MOTO,NO HAY DATOS
190,CONDUCTOR,Masculino,39,AUTO PARTICULAR,CLIO
191,PEATON,Femenino,5,PEATON,
192,PASAJERO/ACOMPAÑANTE,Masculino,43,TRANSPORTE PUBLICO,
193,PEATON,Masculino,5,PEATON,
194,CONDUCTOR,Masculino,52,MOTO,20C
195,CONDUCTOR,Femenino,36,AUTO (no se especifica si es particular o de alquiler),FIT
196,PASAJERO/ACOMPAÑANTE,Femenino,27,MOTO,NO HAY DATOS
196,PASAJERO/ACOMPAÑANTE,Femenino,27,MOTO,NO HAY DATOS
197,CONDUCTOR,Masculino,49,TAXI/REMIS,CORSA
198,PEATON,Masculino,74,PEATON,
199,CONDUCTOR,Masculino,34,AUTO PARTICULAR,TIIDA
200,PEATON,Femenino,33,PEATON,
201,PEATON,Femenino,38,PEATON,
202,CONDUCTOR,Masculino,20,MOTO,125
203,PEATON,Masculino,50,PEATON,
204,PEATON,Masculino,45,PEATON,
205,PASAJERO/ACOMPAÑANTE,Masculino,70,AUTO PARTICULAR,KANGOO
206,CONDUCTOR,Masculino,25,MOTO,F 2
207,PEATON,Femenino,14,PEATON,
208,CONDUCTOR,Masculino,23,CAMIONETA,SPRINTER
209,CONDUCTOR,Masculino,35,MOTO,200
210,CONDUCTOR,Masculino,18,MOTO,FZ
211,CICLISTA,Femenino,27,BICICLETA,NO HAY DATOS
212,CICLISTA,Masculino,32,BICICLETA,NO HAY DATOS
213,PASAJERO/ACOMPAÑANTE,Femenino,61,TRANSPORTE PUBLICO,
214,CONDUCTOR,Masculino,25,SIN DATOS,
215,CONDUCTOR,Masculino,22,MOTO,CB 1
216,CONDUCTOR,Masculino,28,MOTO,TX200
217,CONDUCTOR,Femenino,74,TRANSPORTE PUBLICO,
218,CONDUCTOR,Masculino,20,MOTO,TORNADO
219,CONDUCTOR,Femenino,68,UTILITARIO,RANGER
220,CONDUCTOR,Masculino,23,MOTO,CG
221,CONDUCTOR,Masculino,61,SIN DATOS,
222,PEATON,Femenino,43,PEATON,
223,CONDUCTOR,Femenino,58,BICICLETA,RODADO 28
224,CONDUCTOR,Masculino,18,AUTO PARTICULAR,GOL
225,CONDUCTOR,Masculino,20,MOTO,AX  100
226,PEATON,Masculino,9,PEATON,
227,PASAJERO/ACOMPAÑANTE,Masculino,27,MOTO,NO HAY DATOS
228,CONDUCTOR,Masculino,30,MOTO,ZR 250
229,CONDUCTOR,Masculino,37,MOTO,TORNADO
230,CONDUCTOR,Masculino,31,MOTO,NO HAY DATOS
231,CONDUCTOR,Masculino,50,AUTO PARTICULAR,ZAFIRA
232,CONDUCTOR,Masculino,59,AUTO PARTICULAR,SURAN
232,CONDUCTOR,Masculino,65,AUTO PARTICULAR,FOCUS
233,CONDUCTOR,Masculino,40,AUTO PARTICULAR,SIENA
234,PASAJERO/ACOMPAÑANTE,Masculino,23,TRANSPORTE PUBLICO,
235,CONDUCTOR,Femenino,29,AUTO PARTICULAR,CLIO
236,PASAJERO/ACOMPAÑANTE,Masculino,61,AUTO PARTICULAR,VENTO
236,PASAJERO/ACOMPAÑANTE,Masculino,61,AUTO PARTICULAR,VENTO
237,PEATON,Femenino,84,PEATON,
238,CONDUCTOR,Masculino,43,MOTO,125
239,CONDUCTOR,Masculino,37,MOTO,NO HAY DATOS
240,PASAJERO/ACOMPAÑANTE,Masculino,66,SIN DATOS,
241,CONDUCTOR,Masculino,53,AUTO PARTICULAR,SIENA
242,PEATON,Masculino,999,PEATON,
243,CONDUCTOR,Masculino,22,MOTO,FZ 16
244,PEATON,Masculino,13,PEATON,
245,CICLISTA,Masculino,24,BICICLETA,NO HAY DATOS
246,CICLISTA,Masculino,46,BICICLETA,NO HAY DATOS
247,CONDUCTOR,Masculino,28,AUTO PARTICULAR,CORSA
248,CONDUCTOR,Masculino,33,MOTO,BROSS
249,CONDUCTOR,Masculino,27,MOTO,135 CC
250,CONDUCTOR,Masculino,29,AUTO PARTICULAR,CARINA
251,PASAJERO/ACOMPAÑANTE,Masculino,28,TAXI/REMIS,VOYAGE
252,CONDUCTOR,Masculino,21,MOTO,INVICTA
253,CONDUCTOR,Masculino,34,MOTO,YBR 125
254,PASAJERO/ACOMPAÑANTE,Femenino,27,MOTO,FZ 16
255,CONDUCTOR,Masculino,27,MOTO,CG TITAN
256,CONDUCTOR,Masculino,18,MOTO,TORNADO
257,CONDUCTOR,Masculino,27,MOTO,110
258,CONDUCTOR,Masculino,29,MOTO,CG TITAN
259,CONDUCTOR,Masculino,38,AUTO PARTICULAR,11
260,CONDUCTOR,Masculino,39,MOTO,150
261,CONDUCTOR,Masculino,19,MOTO,INVICTA
262,CONDUCTOR,Masculino,34,AUTO PARTICULAR,HILUX
263,CONDUCTOR,Masculino,29,MOTO,TORNADO
264,PEATON,Masculino,18,PEATON,
265,CONDUCTOR,Masculino,32,MOTO,NO HAY DATOS
266,PEATON,Femenino,7,SIN DATOS,
266,PEATON,Femenino,9,SIN DATOS,
267,CONDUCTOR,Masculino,25,MOTO,CG TITAN
268,CONDUCTOR,Masculino,31,AUTO PARTICULAR,CLIO
269,PASAJERO/ACOMPAÑANTE,Masculino,80,TRANSPORTE PUBLICO,
270,PEATON,Masculino,15,PEATON,
271,CONDUCTOR,Masculino,36,MOTO,YBR 125
272,CONDUCTOR,Masculino,36,MOTO,IBR 125
273,CONDUCTOR,Masculino,60,AUTO (no se especifica si es particular o de alquiler),UP
274,CONDUCTOR,Masculino,35,MOTO,XTZ 250
275,CICLISTA,Masculino,39,SIN DATOS,
276,CONDUCTOR,Masculino,26,MOTO,ZB110
276,NO HAY DATOS,No hay datos,999,SIN DATOS,
277,PEATON,Masculino,49,PEATON,
278,CONDUCTOR,Masculino,43,MOTO,110
279,PEATON,Masculino,34,PEATON,
280,CICLISTA,Masculino,44,TRANSPORTE PUBLICO,
281,CONDUCTOR,Femenino,34,MOTO,125 CC
282,CONDUCTOR,Femenino,25,MOTO,NO HAY DATOS
283,CONDUCTOR,Masculino,82,AUTO PARTICULAR,SURAN
284,CICLISTA,Femenino,30,SIN DATOS,
285,CONDUCTOR,Masculino,36,MOTO,CG TITAN
286,CONDUCTOR,Femenino,29,BICICLETA,LORETTA
287,PASAJERO/ACOMPAÑANTE,Masculino,5,SIN DATOS,
288,PEATON,Masculino,65,PEATON,
289,PEATON,Masculino,26,PEATON,
290,CONDUCTOR,Femenino,48,MOTO,NO HAY DATOS
291,CONDUCTOR,Femenino,30,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,FOCUS
292,PEATON,Masculino,30,PEATON,
293,PEATON,Femenino,27,SIN DATOS,
294,PEATON,Masculino,49,PEATON,
295,CONDUCTOR,Masculino,35,MOTO,NO HAY DATOS
296,CONDUCTOR,Masculino,25,MOTO,ROUSER
297,PASAJERO/ACOMPAÑANTE,Masculino,84,SIN DATOS,
298,CONDUCTOR,Masculino,38,MOTO,125
299,PEATON,Masculino,35,SIN DATOS,
300,PASAJERO/ACOMPAÑANTE,Masculino,1,MOTO,XR
300,PASAJERO/ACOMPAÑANTE,Femenino,20,MOTO,XR
301,PEATON,Femenino,37,PEATON,
302,CONDUCTOR,Masculino,22,AUTO PARTICULAR,TRAFFIC
302,CONDUCTOR,Femenino,35,AUTO PARTICULAR,208
303,PASAJERO/ACOMPAÑANTE,Femenino,53,MOTO,FZ 16
303,PASAJERO/ACOMPAÑANTE,Femenino,53,MOTO,FZ 16
304,PEATON,Femenino,39,PEATON,
305,PEATON,Femenino,24,PEATON,
306,CONDUCTOR,Masculino,34,MOTO,GN 125
307,CONDUCTOR,Masculino,27,MOTO,NO HAY DATOS
307,CONDUCTOR,Masculino,24,MOTO,NO HAY DATOS
307,PASAJERO/ACOMPAÑANTE,Femenino,23,MOTO,NO HAY DATOS
308,CONDUCTOR,Masculino,28,MOTO,150
309,CONDUCTOR,Masculino,33,AUTO PARTICULAR,CORSA
310,CONDUCTOR,Masculino,37,MOTO,HJ 125
311,CONDUCTOR,Masculino,46,AUTO PARTICULAR,CORSA
312,PEATON,Femenino,56,PEATON,
313,CONDUCTOR,Masculino,33,CAMION,608
313,CONDUCTOR,Masculino,56,AUTO (no se especifica si es particular o de alquiler),ECO SPORT
314,PEATON,Femenino,54,PEATON,
315,CONDUCTOR,Masculino,24,MOTO,VC 150
316,PEATON,Masculino,6,PEATON,
317,PASAJERO/ACOMPAÑANTE,Masculino,19,MOTO,110
317,PASAJERO/ACOMPAÑANTE,Masculino,20,MOTO,110
318,CONDUCTOR,Masculino,29,MOTO,POP 100
319,PEATON,Femenino,78,PEATON,
319,PEATON,Femenino,78,PEATON,
320,CICLISTA,Masculino,52,BICICLETA,NO HAY DATOS
320,CICLISTA,Masculino,52,BICICLETA,NO HAY DATOS
321,PASAJERO/ACOMPAÑANTE,Masculino,16,AUTO (no se especifica si es particular o de alquiler),TRAFFIC
322,PEATON,Femenino,38,PEATON,
323,PASAJERO/ACOMPAÑANTE,Masculino,21,SIN DATOS,
324,PASAJERO/ACOMPAÑANTE,Masculino,22,AUTO PARTICULAR,GOL TREND
325,CONDUCTOR,Masculino,22,MOTO,125
326,CONDUCTOR,Masculino,34,MOTO,COOL 2
327,PEATON,Masculino,27,PEATON,
327,PEATON,Masculino,27,PEATON,
328,PASAJERO/ACOMPAÑANTE,Femenino,74,AUTO PARTICULAR,SURAN
329,CONDUCTOR,Masculino,33,AUTO PARTICULAR,CORSA
330,CONDUCTOR,Masculino,999,TAXI/REMIS,NO HAY DATOS
331,CONDUCTOR,Masculino,24,MOTO,CG TITAN
332,CONDUCTOR,Femenino,33,MOTO,BIZ
333,PEATON,Masculino,24,PEATON,
334,PEATON,Masculino,23,PEATON,
335,CONDUCTOR,Masculino,27,BICICLETA,MONTAIN BIKE
336,PASAJERO/ACOMPAÑANTE,Femenino,34,AUTO PARTICULAR,SANDERO
337,CONDUCTOR,Masculino,64,AUTO PARTICULAR,GOL
337,CONDUCTOR,Masculino,64,AUTO PARTICULAR,GOL
338,CICLISTA,Femenino,22,BICICLETA,NO HAY DATOS
339,PEATON,Masculino,86,PEATON,
340,PEATON,Femenino,31,PEATON,
340,PEATON,Femenino,58,PEATON,
341,CONDUCTOR,Masculino,58,AUTO (no se especifica si es particular o de alquiler),3070
342,CICLISTA,Masculino,52,BICICLETA,NO HAY DATOS
343,PEATON,Masculino,35,PEATON,
344,PEATON,Masculino,36,PEATON,
344,PASAJERO/ACOMPAÑANTE,Masculino,82,SIN DATOS,
345,CONDUCTOR,Masculino,35,MOTO,NO HAY DATOS
346,CONDUCTOR,Masculino,26,MOTO,NO HAY DATOS
347,CICLISTA,Masculino,31,BICICLETA,NO HAY DATOS
348,CONDUCTOR,Masculino,22,MOTO,250
349,PEATON,Masculino,17,PEATON,
350,CONDUCTOR,Masculino,65,MOTO,600
351,PASAJERO/ACOMPAÑANTE,Femenino,35,TRANSPORTE PUBLICO,
352,PEATON,Femenino,18,PEATON,
353,CICLISTA,Femenino,16,BICICLETA,NO HAY DATOS
354,PEATON,Femenino,35,PEATON,
355,PEATON,Femenino,25,PEATON,
356,CONDUCTOR,Femenino,45,MOTO,125
357,PEATON,Masculino,42,PEATON,
358,CONDUCTOR,Masculino,30,MOTO,110
359,PEATON,Masculino,9,PEATON,
360,CONDUCTOR,Masculino,33,AUTO PARTICULAR,CORSA
361,CICLISTA,Femenino,33,BICICLETA,MONTAIN BIKE
362,PEATON,Femenino,68,PEATON,
363,CONDUCTOR,Masculino,33,AUTO PARTICULAR,CORSA
364,CONDUCTOR,Femenino,21,MOTO,NO HAY DATOS
365,CONDUCTOR,Masculino,65,MOTO,600
366,CONDUCTOR,Masculino,28,MOTO,150
366,CONDUCTOR,Femenino,49,AUTO PARTICULAR,FOX
367,CONDUCTOR,Masculino,31,AUTO (no se especifica si es particular o de alquiler),GOL COUNTRY
368,PASAJERO/ACOMPAÑANTE,Femenino,42,SIN DATOS,
369,CONDUCTOR,Masculino,30,AUTO PARTICULAR,SIENA
370,PEATON,Femenino,41,PEATON,
371,CONDUCTOR,Masculino,18,AUTO PARTICULAR,ORION
372,PEATON,Masculino,69,PEATON,
373,CONDUCTOR,Masculino,60,MOTO,NO HAY DATOS
374,PASAJERO/ACOMPAÑANTE,Femenino,30,AUTO (no se especifica si es particular o de alquiler),CORSA
375,CONDUCTOR,Masculino,22,AUTO PARTICULAR,MEGANE
376,CONDUCTOR,Masculino,28,BICICLETA,NO HAY DATOS
377,CONDUCTOR,Masculino,21,MOTO,Y 125
378,CONDUCTOR,Masculino,53,MOTO,YBR 125
379,CONDUCTOR,Masculino,21,BICICLETA,NO HAY DATOS
380,CONDUCTOR,Masculino,30,MOTO,YZF R6 600
381,PASAJERO/ACOMPAÑANTE,Masculino,40,SIN DATOS,
382,CONDUCTOR,Femenino,73,AUTO PARTICULAR,GOL
383,PASAJERO/ACOMPAÑANTE,Masculino,16,SIN DATOS,
384,CONDUCTOR,Masculino,36,AUTO PARTICULAR,VECTRA
385,CONDUCTOR,Masculino,22,MOTO,NO HAY DATOS
386,CONDUCTOR,Femenino,26,AUTO (no se especifica si es particular o de alquiler),505
387,PASAJERO/ACOMPAÑANTE,Masculino,65,TAXI/REMIS,MERIVA
388,PEATON,Masculino,50,PEATON,
389,PASAJERO/ACOMPAÑANTE,Femenino,35,MOTO,FZ
389,PASAJERO/ACOMPAÑANTE,Femenino,35,MOTO,FZ
390,CICLISTA,Masculino,33,BICICLETA,NO HAY DATOS
391,PEATON,Masculino,64,PEATON,
392,PASAJERO/ACOMPAÑANTE,Femenino,43,MOTO,XR
393,CONDUCTOR,Masculino,47,MOTO,WAVE
394,CICLISTA,Masculino,51,BICICLETA,NO HAY DATOS
395,CONDUCTOR,Masculino,30,OTROS,
396,PEATON,Femenino,56,PEATON,
396,PEATON,Femenino,54,PEATON,
396,PEATON,Femenino,56,PEATON,
396,PEATON,Femenino,54,PEATON,
